Year,FIO-ESM,NorESM1-ME,BCC-CSM1-1,MRI-CGCM3,CanESM2,CESM1-CAM5,GISS-E2-H,MIROC-ESM-CHEM,MIROC-ESM,HadGEM2-ES,FGOALS-g2,ACCESS1-0,BNU-ESM,MIROC5,CMCC-CMS,HadGEM2-AO,FGOALS-s2,INMCM4,CSIRO-Mk3-6-0,GISS-E2-R,ACCESS1-3,CCSM4,CNRM-CM5,GFDL-CM3,NorESM1-M,IPSL-CM5B-LR,GFDL-ESM2M,CESM1-BGC,CMCC-CM,MPI-ESM-MR,MPI-ESM-LR,EC-EARTH,IPSL-CM5A-MR,HadGEM2-CC,IPSL-CM5A-LR,GFDL-ESM2G
1992,3.1411841964376337,2.166422079903018,1.8104802231762467,2.793153806573649,2.596394039589275,2.425785101464901,5.279162358488616,1.0554795568362347,1.0554795568362347,NaN,1.6947891157846937,NaN,3.1306579812442488,NaN,1.3469047233464422,NaN,2.8491646889134175,0.064632081780247,NaN,4.351977204733943,3.789023116198966,2.489327848483324,NaN,NaN,1.8371719418457675,2.798954925671135,1.7416661385250332,2.4350988854151936,-0.3345011333400057,2.537726006692427,3.262420177223892,4.330231538765516,0.6870639726655169,NaN,2.122705340771809,1.4832355263406296
1993,3.008043637835981,1.7292855787129486,1.7100075677330662,2.5846416879582144,2.5354224125688587,2.2093207198855263,5.603331890655621,1.0000515568243606,1.0000515568243606,4.339814137812698,1.6001518208183836,NaN,3.408206057593568,NaN,1.2934024376976774,NaN,2.845987185074867,0.18523970919304092,NaN,4.610907764986039,3.466727888061951,2.5196592304910355,NaN,NaN,1.7015894427266849,3.1773754448890363,1.6554870776662902,2.4202025315451268,0.11980673892334628,2.341392168854366,3.342037781724728,4.1936033461143705,0.8716290912726273,NaN,2.0441631471591455,1.4429798152523299
1994,2.9797580643982635,1.363358352465576,1.588636003314442,1.7750341526882027,2.4611206227890015,2.3395847279793767,5.450985679730449,0.8282570099248336,0.8282570099248336,4.295522820406997,1.7247569794488071,6.877949680444994,3.3489176570375245,NaN,1.4612239229915325,4.148141653986388,2.644131302104809,0.05512238650350913,NaN,5.327686635552068,3.0510019600811256,2.5804523824341254,4.019524260421031,NaN,1.8943760548008015,3.273565977503804,0.7960179778847547,2.459240640820758,0.7694131194837566,2.1764739477976245,3.391528990430057,3.8414406589053156,1.0123184544118236,-0.35317129557311155,2.1149184648392323,1.2376795647399903
1995,2.9655398209238544,0.45636831174859827,1.6925724080546336,1.099778291787513,2.4343373718826933,2.483647828366679,5.305355890697815,0.9605669819770615,0.9605669819770615,3.7665875451868733,1.4885037387127946,6.087465724200414,3.428477454092262,NaN,1.6617231126438383,4.5347309345703595,2.5783283062981863,0.24303458399622652,NaN,4.5429908431046435,2.8797377031190385,2.559660000833788,3.45308658601573,NaN,1.9645301974532579,3.480910895394791,0.7387630202862301,2.5400005017875134,0.8812631022098516,1.8720200911721594,3.3368734539375065,3.5606012345008597,1.1296676543688997,0.9233101553348827,1.9268776084103483,1.1831921101782579
1996,2.9220282458976414,-0.07773516678310043,1.9404175298061195,0.8581563377364863,2.4746463517558888,2.5051240064416036,4.986715257531609,0.815379536603827,0.815379536603827,3.6174362896276064,1.3927486830605122,5.777835696113941,3.066651132372815,NaN,1.7760059157642305,4.6853911936304495,2.5233508948680377,0.15384951506442007,NaN,4.523581359353411,2.956151313714182,2.418918227679848,3.5061101096249314,NaN,2.4526507350669755,3.4276465383140016,0.8852679727259785,2.5482166201832768,0.9017005493022682,1.4984562137122468,3.4152833793664414,3.3912923106668105,0.9491750053909113,1.7362302429419174,1.577111097514445,1.3965468030672776
1997,2.7801065935830347,-0.21397546416181787,2.108199529846054,1.1299814559802253,2.5162007177255017,2.1957806323080673,4.592818133201822,1.1863001452591042,1.1863001452591042,3.506218915639431,1.6184794686091124,4.97673475222679,2.845252803638326,NaN,1.736008100098822,3.9440953980874713,2.630381079166981,0.10090286820264371,NaN,4.602723153850376,3.0785634423027988,2.356531791978614,3.220281508258578,5.823818367243762,2.27517034612954,3.299915921800866,1.2162119322273393,2.623462033753027,1.0752410681649502,1.5278512469269507,3.254362506399395,3.172640660171136,1.057950561953048,2.0746320565089893,1.427531571744912,1.6576467221031999
1998,2.8186966327663203,0.07630723875791012,2.1901440594155215,0.8987054755207433,2.480479368514581,2.1305113400632507,4.242781482352903,1.4385829727978552,1.4385829727978552,3.2721015695359097,1.7990625185025708,4.038418620768516,2.487538495504861,NaN,1.8765706981468642,3.3189567852031723,2.5250729393544447,0.375118941740456,NaN,4.271911080358095,2.958152813061499,2.2717684591550764,3.698397316005846,4.80095210137302,2.3965359475829247,3.4217314260665224,1.2755688465538795,2.7349686936318554,1.2270452544791925,1.6169026543254048,3.0207428543781827,2.9586248723885107,1.071819552967218,2.330179633738382,1.418481835341577,1.6558235563690868
1999,2.781569754613712,-0.3850133954589257,2.4684316922343807,0.43843499226933924,2.5610531615529797,1.96495078432703,4.055858458585844,1.7591081555062453,1.7591081555062453,3.145595818613022,1.8303627744211415,3.59020887294794,2.4645864286369306,3.2112910915077943,2.0331269042358704,2.841302164183675,2.474462443435138,0.762147871244843,NaN,4.156640462938805,2.5896681685672607,2.2787737069010254,3.464151991942792,4.086612128465245,2.671688333058046,3.4421353704602193,1.5783135362519258,2.457274066642922,1.6472964670544066,1.448635329059163,2.870868932150185,2.7480156474297197,0.950007624806566,2.4258557195265587,1.4486243797148057,1.800276542035668
2000,2.7053876726955886,-0.2090647851087613,2.7496732989674153,0.3176761737832059,2.6671199497119202,1.9942757382303473,3.7976236201021485,1.8679150019202677,1.8679150019202677,3.0940345524001556,1.8392115685682016,3.1390915619799165,2.3585398048430135,3.253728135121733,2.0802471622085807,2.705686808305826,2.419043500356443,0.6760568120805533,3.8802497872483594,4.069349095409468,2.502747746147139,2.4255972532731924,2.9104828026267997,3.522136010009775,2.7475019547853554,3.1770399325981065,1.64370103926133,2.6147916765578403,1.7254598156773426,1.3909636958786813,2.8661521447457723,2.7178972757518562,1.1999795064033711,2.6069551020086217,1.3208437477178137,1.8927097729842202
2001,2.517390982692095,0.18494129439481458,2.9653616757420713,-0.4091431135692083,2.665806700532648,1.7824390802895542,3.4530978710094877,1.9385519996669387,1.9385519996669387,3.2528309538253906,1.8183198554073545,2.858803206633883,2.424874707511844,3.004886583910349,2.115922799194903,2.681314608113645,2.34757792638871,0.565112531678873,3.5163937855115948,3.8174776283385645,2.018787005379063,2.4820566449273698,2.7207110338755207,3.3562461386593263,2.703151009063836,2.9707054401458075,1.8741802237945255,2.594604743019433,1.7716640241715178,1.455245559812086,2.6836328690249265,2.530886540705488,1.0867120372145345,2.751546438099071,1.472722354838747,2.0621684104012132
2002,2.5033644083458118,0.3500531069336962,3.1129429481130146,-0.49238521345752295,2.779261687034369,1.8117633844003334,3.250370565107174,1.933972134961848,1.933972134961848,3.116229844908693,1.7610488839917744,2.744358743775767,2.3424032271686492,3.0959129121482145,2.0565276677521624,2.4337271683223696,2.348211275475058,0.7230177661136743,3.27082655528237,3.7727203366274615,1.496318833112565,2.571544075286681,2.719717631526357,3.079499680279525,2.7063145153971107,2.8341513755292027,1.9208869768635968,2.540309672009138,1.9926460345803458,1.5020238667857484,2.6283166228010386,2.4918940358597323,1.0087622781136183,2.9252361584728592,1.3874943030596236,2.173810923770978
2003,2.402554680142205,0.8552711139725223,3.2731645424350355,0.2975856055341757,2.7580918559348517,1.729226564838786,3.183224856122246,2.162438786715989,2.162438786715989,3.0300848926312054,1.7258093538278678,2.6533341407361837,2.429551611242495,3.071129114924907,2.010215862037604,2.364995247338169,2.3982318378870726,0.851605669433972,3.024333440072107,3.683286145563816,1.8348191228966435,2.527787385537538,2.538984517484704,3.0219965463716907,2.4693911807182847,2.9089926141659794,2.02618253514168,2.458205039908815,2.1165556710963003,1.4278971839795842,2.4866742104333763,2.5649347474025754,1.0210457253612664,2.8309017932418197,1.3643073616108972,2.1971992886805807
