Year,FIO-ESM,NorESM1-ME,BCC-CSM1-1,MRI-CGCM3,CanESM2,CESM1-CAM5,GISS-E2-H,MIROC-ESM-CHEM,MIROC-ESM,HadGEM2-ES,FGOALS-g2,ACCESS1-0,BNU-ESM,MIROC5,CMCC-CMS,HadGEM2-AO,FGOALS-s2,INMCM4,CSIRO-Mk3-6-0,GISS-E2-R,ACCESS1-3,CCSM4,CNRM-CM5,GFDL-CM3,NorESM1-M,IPSL-CM5B-LR,GFDL-ESM2M,CESM1-BGC,CMCC-CM,MPI-ESM-MR,MPI-ESM-LR,EC-EARTH,IPSL-CM5A-MR,HadGEM2-CC,IPSL-CM5A-LR,GFDL-ESM2G
1950,1.8552283472212505,1.933637163645426,2.5244680724564166,2.0779121208739753,2.6593910044000504,2.496287290942309,3.2486345981783415,2.3030378582471753,2.3030378582471753,2.7594719802537147,2.14224493778413,3.0426413171663733,2.7155659091070796,3.073115780418363,2.147671574124117,2.453001885233581,2.7148622918240575,1.1473311542755347,1.9437190279334042,3.081293984857479,2.4665609103601938,2.2539418606532178,3.1924679271374345,2.9256521927354293,2.893135346398532,2.6537965078888255,2.376699230277536,2.435327127757939,2.3577303116215576,2.4117414735529894,2.714281623393144,2.4869457642294455,1.7181602461709213,3.0727832262159622,1.7652137306107103,1.9056743373501783
1951,1.8106904285872587,1.8809718348642588,2.4628667318496675,2.041287034956613,2.662447551954711,2.4590879658575715,3.2124027187677844,2.3479082780916762,2.3479082780916762,2.773811791309385,2.138503192951671,3.048259306905062,2.738973268253495,3.057655124440135,2.1474880509803373,2.492875332833566,2.6828706176019415,1.1677081722564935,1.9756482203699295,3.066869021217018,2.421007710731813,2.269113111947979,3.1716259792960173,2.9332405989150323,2.8424318043037355,2.6683869053861913,2.401602927700695,2.414659334594004,2.3436198010124243,2.3627363450333383,2.7045943496304212,2.3949023012044126,1.7180102802936557,2.983466245866616,1.775021568328746,1.8562042974116486
1952,1.8246395272814395,1.8700524161089351,2.4442705757216974,2.025352633420857,2.6415765089089005,2.4137605058194413,3.1899466556405334,2.3512368828700687,2.3512368828700687,2.7718434443486686,2.1689920097869413,3.0766806815645107,2.731028113097287,3.0602701341698224,2.1540220744126835,2.549899282789608,2.6614584292675727,1.0896744944369863,2.0097682471771785,3.081645932770514,2.4222596919764796,2.2905493799883607,3.1533589794216748,2.9186180042088816,2.850587068585657,2.6653684346898046,2.346239584971251,2.3938401690863187,2.35131788236491,2.331472353926777,2.689871524236769,2.342543411667438,1.7345882001456447,2.9629966696194328,1.8148495380985128,1.8581118918732933
1953,1.805729192177939,1.8062195707250646,2.4655085432474575,1.9698282551153494,2.6347653013543213,2.411560801172302,3.18531669812892,2.3309856768890422,2.3309856768890422,2.7837112751656274,2.140307639951826,3.0685966396685855,2.7438009369006378,3.0746932842253103,2.194369667485012,2.6017749778116617,2.683996871810611,1.085548081061169,2.0034857454042383,3.0175695444470447,2.440554615093658,2.3103349812277054,3.1196556814750958,2.9585349265185177,2.9245259336942215,2.689678687289168,2.322352366733857,2.390825043713187,2.343893281083957,2.257242447986479,2.675117594598116,2.244399771654781,1.7447349429366663,3.0541869015226437,1.8205243164032456,1.8441776442389657
1954,1.7526012692729986,1.7666925691987572,2.503866757854422,1.9660044796366782,2.626933129588253,2.4275791824339366,3.1696340363106534,2.2915211974891,2.2915211974891,2.770803901196235,2.14402811252577,3.0956120671661074,2.7101269529606506,3.028893581733277,2.2563996037578713,2.6156636164263167,2.6512452377905804,1.062131127778392,1.982780298799606,3.020288446424095,2.4670140424161935,2.3271149445057557,3.119304719829866,2.9809201957058593,2.971575774481399,2.6631378296860797,2.330506956117548,2.4260916126911627,2.329169018499595,2.2225813136861974,2.694427147076702,2.226240077631507,1.7438465681934416,3.106451492868197,1.807539034635584,1.8774600194754192
1955,1.7128637508083255,1.6948078467262209,2.546972165463631,1.9556062486348347,2.6274577449267094,2.3610358483960256,3.1406000413093325,2.320909024541572,2.320909024541572,2.7548444506966008,2.1748500246584794,3.0574180059822442,2.697924440033613,3.0196732712823606,2.249739721819648,2.572569887040617,2.682867697633779,0.9968393080790129,1.9257203182515767,2.994318718005589,2.479614629813271,2.3522649248473346,3.1493025232780125,2.9918878200371615,2.9689087008857102,2.672696378151809,2.378088452383249,2.458329876114973,2.3426849847024775,2.210328863538378,2.6339149060129925,2.165523762731704,1.7457853915431363,3.1177838082736065,1.777956128952299,1.9010131557316787
1956,1.721514080744345,1.6906545640871373,2.553880887708113,1.9289764156983016,2.649502967563081,2.3876808277718804,3.108776903860586,2.3299300784334265,2.3299300784334265,2.7253165868446305,2.227340555895344,2.9668911833531353,2.623405538483368,2.9721094930269865,2.2883357092520757,2.522911608826827,2.6813599868887246,1.0295014277378793,1.933072610054605,2.957075686395362,2.486996373999978,2.3808723666793385,3.237606838309199,2.988079777415842,3.022950892321831,2.699506912030507,2.3997840153130574,2.488694300658486,2.3325631092996457,2.2168535257165316,2.6032030112878215,2.1369672313951,1.7439451087535136,3.1659652170743984,1.752850150079689,1.9038923365854519
1957,1.6931747218002722,1.6591023674173402,2.607144230219177,1.881094939239624,2.6549902929845173,2.35051396415471,3.064241571896044,2.300864506932965,2.300864506932965,2.703547619341317,2.2324890184311923,2.9234323362968797,2.6159094972174235,2.92034383891184,2.3223105107758126,2.4597100633018667,2.665205675058567,1.132993734231535,1.9275770358493352,2.932452950596484,2.4684014927583724,2.411079823746333,3.178532498906185,2.9875319016707556,3.093649846443634,2.6715025564206147,2.398109444634617,2.437201829826438,2.364754182139492,2.2067214936793,2.5739811310420033,2.1216484344151825,1.7030735425044115,3.2146182084565975,1.7611747183946196,1.9387405613027702
1958,1.6627501069355661,1.630281989747811,2.6548164658612854,1.845134366014333,2.655226004068573,2.3598368311031357,2.977464240447778,2.2767955867313647,2.2767955867313647,2.6971933390559215,2.251881172873629,2.847391063017694,2.569040770878645,2.8896414417395415,2.3409392494581627,2.4263784183193784,2.6657397264212292,1.169428053027425,1.8576763878535023,2.934512634340209,2.449939359301368,2.4495356369820476,3.0835706704983745,2.9526341193933985,3.10132462801054,2.6348383200471157,2.38937653015811,2.461731449270541,2.372221787159102,2.212800228598236,2.575623786132452,2.1269665121271855,1.7280263312539264,3.2343450048577873,1.7462267686191173,1.994384861617473
1959,1.6097170786205244,1.6986391749383605,2.6895783077789925,1.7221452029095041,2.6645600472518263,2.3570860985905298,2.9266140179258526,2.240711677806021,2.240711677806021,2.7180844397557675,2.2324655373073417,2.7671056193302177,2.571039423624309,2.820549950727916,2.391868676548364,2.444429410935044,2.637939888946673,1.1554975500913949,1.8518403857560328,2.903854633700585,2.423119108092571,2.478849873774363,3.0632598979376766,2.958493403905785,3.0795398936650957,2.58147768951478,2.4327470498364727,2.417141173462543,2.393252215299732,2.193642168219915,2.5518866208236397,2.057182129253151,1.6945080972354005,3.254357883452831,1.7476015338562287,2.0621696947063457
