Year,MPI-ESM_r081,MPI-ESM_r042,MPI-ESM_r012,MPI-ESM_r013,MPI-ESM_r056,MPI-ESM_r054,MPI-ESM_r031,MPI-ESM_r070,MPI-ESM_r075,MPI-ESM_r048,MPI-ESM_r058,MPI-ESM_r090,MPI-ESM_r002,MPI-ESM_r099,MPI-ESM_r009,MPI-ESM_r016,MPI-ESM_r078,MPI-ESM_r004,MPI-ESM_r088,MPI-ESM_r060,MPI-ESM_r043,MPI-ESM_r064,MPI-ESM_r085,MPI-ESM_r028,MPI-ESM_r059,MPI-ESM_r094,MPI-ESM_r015,MPI-ESM_r022,MPI-ESM_r080,MPI-ESM_r044,MPI-ESM_r091,MPI-ESM_r096,MPI-ESM_r007,MPI-ESM_r006,MPI-ESM_r082,MPI-ESM_r053,MPI-ESM_r040,MPI-ESM_r010,MPI-ESM_r024,MPI-ESM_r087,MPI-ESM_r083,MPI-ESM_r039,MPI-ESM_r037,MPI-ESM_r098,MPI-ESM_r068,MPI-ESM_r001,MPI-ESM_r035,MPI-ESM_r033,MPI-ESM_r066,MPI-ESM_r038,MPI-ESM_r051,MPI-ESM_r017,MPI-ESM_r036,MPI-ESM_r003,MPI-ESM_r072,MPI-ESM_r061,MPI-ESM_r025,MPI-ESM_r019,MPI-ESM_r023,MPI-ESM_r097,MPI-ESM_r027,MPI-ESM_r089,MPI-ESM_r077,MPI-ESM_r057,MPI-ESM_r029,MPI-ESM_r079,MPI-ESM_r073,MPI-ESM_r092,MPI-ESM_r049,MPI-ESM_r030,MPI-ESM_r063,MPI-ESM_r052,MPI-ESM_r067,MPI-ESM_r032,MPI-ESM_r041,MPI-ESM_r076,MPI-ESM_r100,MPI-ESM_r014,MPI-ESM_r071,MPI-ESM_r093,MPI-ESM_r005,MPI-ESM_r034,MPI-ESM_r086,MPI-ESM_r021,MPI-ESM_r050,MPI-ESM_r026,MPI-ESM_r046,MPI-ESM_r095,MPI-ESM_r008,MPI-ESM_r055,MPI-ESM_r018,MPI-ESM_r062,MPI-ESM_r020,MPI-ESM_r084,MPI-ESM_r047,MPI-ESM_r045,MPI-ESM_r069,MPI-ESM_r074,MPI-ESM_r065,MPI-ESM_r011
1950,2.517124264383388,3.0391536454094426,3.0641366558389396,2.4691464507057983,3.167177235145053,2.8318764646490275,2.6545995603336605,2.2002287694367806,3.1657773622816485,2.5291588473218174,2.4125445921049433,2.8895772598261,2.521410491571226,2.731613210207961,2.491131777134907,2.2615978787782516,3.1116844513347908,2.8276845809726487,2.9674666819347126,3.0266359451799687,2.7137707499763857,3.218633346320848,2.3665427179894594,2.621596171681363,2.5528983463741195,2.4763838096244415,2.08545508269208,2.529942921817063,2.833111844063855,2.227587766023528,3.0599187965114742,3.3303798395731024,2.571762322348183,2.256108614288795,2.876695959587509,2.928415224730953,2.918250574012484,2.6201650297196455,2.6257849897254038,2.6337379094103546,2.5086406387684486,2.535563643339735,2.990789704782491,2.2609932408852282,2.319046269914728,2.634337386826189,2.6456413990842784,3.12518823305878,2.4618846874220877,2.588650451477902,2.77005729094356,2.5491598857794866,2.86370853400072,2.6967469653335563,2.865288892330023,2.706500829493796,2.749186417187584,2.39798908772625,2.181752168475941,2.9189364955093082,2.7391990298069686,3.101611754508137,2.785040518389559,2.526280806429221,2.775623947656094,2.588430985930786,2.693570852696072,2.649052792725036,2.6583134503066614,2.7444636738684958,2.95647091102396,2.634961930888278,2.39014284742618,2.5679236069959606,2.759524583740887,2.703674477684935,2.3619729789240647,2.5201084952096635,2.6942187955176293,2.8301365676535704,2.5928036941948323,2.623599147663024,3.2198838706459676,2.763095553101164,2.8629832308434042,2.697092232233564,2.7669481938596587,2.7284732591624565,2.9978496509680483,2.8126020354912553,2.2399184759594526,2.8887108069852054,2.755885898159305,2.556480874590797,2.9660359591149135,2.5638428454539977,2.275028478044002,2.735284762269345,2.889132461867693,2.8281180304580977
1951,2.5536389073923775,3.0565703906429142,3.070087343670259,2.4529848966195873,3.173093313193668,2.8318443856899203,2.6707514432302846,2.236408469625615,3.154569811559894,2.524932573671929,2.423870257080747,2.8486314754330606,2.503345437271396,2.7008175256602427,2.4626890109223742,2.196908021209113,3.1072232911776476,2.781679040820638,2.9924325385999695,3.004877342127663,2.7104493746601475,3.2396200329185825,2.359621603057486,2.5770127678428785,2.4956574885229927,2.4946336013382164,2.0787988541039337,2.4938345201533716,2.911747421636305,2.2580097905644236,3.0581722478707474,3.297704022702274,2.5493164226489697,2.1590754352802426,2.935852647431924,2.927878975809678,2.94649180837306,2.5897449867281357,2.6465226790124636,2.5732945026828324,2.471733295279211,2.5449756429768944,3.0343958137217024,2.311355732186669,2.3515334944899857,2.633253161511174,2.6085592859998226,3.2089774922640384,2.522100563091368,2.615734434205225,2.7864909066423422,2.515163089874913,2.812787526115893,2.6764748445003796,2.8376781703140486,2.689578263895985,2.7840066285582874,2.369442036225426,2.211439916876803,2.9346017690573656,2.7501192162428,3.0539275995859483,2.7438646935923026,2.5100562954463483,2.716367612523487,2.5976492329347254,2.6963062990164968,2.6492679918520095,2.6326522090615865,2.7777935529835163,2.994212505767941,2.6061220810944126,2.4075998812902206,2.536294481312223,2.6785071362513735,2.6898619534168815,2.372215725448423,2.528178267004621,2.702084332932595,2.792525964010066,2.605164594595972,2.6179068803000654,3.2062937540829464,2.770517245656913,2.817079801950335,2.7125146721664772,2.7922263446045545,2.6864716923311995,2.9674209109556102,2.7580314742128067,2.2479867173810857,2.877948291692833,2.715806046640282,2.6100087566378343,2.958572669792362,2.623198530473042,2.2316659709384474,2.721935656622538,2.8374449671195814,2.8683137139876234
1952,2.5414512648102154,3.115736052647152,3.080861320625557,2.4103323314818947,3.1445651829950316,2.8292937399052067,2.6698941508699976,2.237173539686819,3.1253289944563556,2.47932004778967,2.4191889291589566,2.848888786934808,2.511970364623692,2.6965105291652725,2.477887361474424,2.105541118493392,3.074172767585718,2.73001876623394,2.961723543878417,3.0039114719913664,2.666129611605278,3.201574195396357,2.3559925259464123,2.5977847718612352,2.468615321224934,2.4928597542571924,2.1070044010361912,2.514146832457724,2.879094785116856,2.2387178882493144,3.07244885788628,3.314140027496154,2.542560920769871,2.107009665925408,2.9105588015792287,2.9241580811341827,2.918217605371156,2.528713864609446,2.6122575926122176,2.5583406145497345,2.4899810277661274,2.6124883424035845,3.0520966875902684,2.2820626475162635,2.321167969256013,2.63109197416884,2.6084327551554347,3.1947962070991136,2.555855423773834,2.6006520504996065,2.741260094300994,2.493272643894954,2.800395307501484,2.698659128840253,2.7206442995262865,2.7173318287744785,2.7919139721773387,2.350806211006961,2.2355623506900737,2.928059260959299,2.7443621917483236,2.998308861837985,2.7578325350292925,2.545647672565205,2.6681220094797484,2.61625010089679,2.7186399803104955,2.683401000811438,2.600149889052411,2.7591089639807005,3.0086579667906155,2.614013966812169,2.4486430602930493,2.4708968449905284,2.6404649010659376,2.716652275157365,2.3493638916635824,2.5249364043687215,2.748318801577078,2.75019427805586,2.620261223755513,2.600069545435204,3.2320123836569157,2.7155046500634903,2.808785390757263,2.689324759613503,2.7855996075483596,2.70898303691785,2.984550714526868,2.7764295843678317,2.1969541836180406,2.88904911929808,2.7250432597401852,2.680761247584661,2.9456302887248107,2.638934625279048,2.1798057485522926,2.7306862417208655,2.868179349239714,2.8877857310309367
1953,2.5135077014949956,3.065665388126849,3.070958947672855,2.3571711544054432,3.148640336272246,2.8053360691315534,2.6436928564922297,2.1997669847970935,3.071951146760138,2.4477900308778135,2.436364869419509,2.7705002536347636,2.505292400396551,2.689881725891047,2.4935403077824922,2.0917896977645647,3.0713879030224085,2.700635703022225,2.9844726310660783,3.00207009477599,2.6582245910973876,3.147253616274918,2.383009609826827,2.6349262758425995,2.4275427183603218,2.4272282358914,2.09605076430099,2.6060046638005545,2.8249535067046265,2.1913034424197817,3.0959219873130523,3.298226960836636,2.576001216579216,2.1488431642257715,2.9080026532835106,2.928168465811488,2.876531914089549,2.475714056889927,2.536431127205052,2.511729541872527,2.4992649353483802,2.619313684864163,3.0982111774606693,2.2644979895792083,2.292148939589913,2.680358527341117,2.564612764338223,3.1401674207495485,2.5382611089467453,2.588539651049311,2.775176469276103,2.4775807487976462,2.7358503728146073,2.6993714107756808,2.656007704359786,2.7066559073676593,2.7956710885952925,2.422983713246132,2.208395754914605,2.8662817047905724,2.743198073508538,2.9835891450290806,2.7012331876193807,2.537921780410944,2.6392946987886257,2.623422270940161,2.7371739672080104,2.680187527002938,2.5666672237950108,2.7433081530002155,3.062964317048875,2.620350324006417,2.4453502107700116,2.398477203524233,2.6365218020890575,2.7097960429346895,2.301366050607773,2.5185351654512775,2.759588870459722,2.693903566716645,2.6143606758039044,2.583506559526988,3.273486950060527,2.5922590671283547,2.8330038134146966,2.6625592609324187,2.8024732139165387,2.7457290727138344,2.937260155111944,2.7304721172058173,2.235576305843914,2.9080607374140977,2.707336064823405,2.70618295305528,2.9946379663883795,2.68282821820004,2.190004509911917,2.7306087067698064,2.915584275492288,2.8024819862628076
1954,2.4752281293699134,3.1088525142574905,3.151785074990918,2.274509020087488,3.174724807648293,2.7777349766799064,2.6289316626894093,2.149974544032452,3.041062439818438,2.4315642429084283,2.4630536438604733,2.755998440537879,2.4921508391772416,2.682073677154922,2.463609216201665,2.0560618824564125,3.0690283217327696,2.649424396000474,2.8962217853376186,2.99916823489165,2.608553167521026,3.0775584101479447,2.364556723934761,2.6278751931585993,2.3780756061236796,2.367331502446473,2.01052975888174,2.6268074479512644,2.7167265670889202,2.1426224229349216,3.1424935489205255,3.3484338681511643,2.535483445818618,2.1847672280367143,2.944427594215752,2.9115504596225517,2.9027111671596613,2.4788678670163544,2.55008100315441,2.5149778720731732,2.4363388088688342,2.5799837193764694,3.071729148612634,2.2609285015081126,2.3667494195784227,2.6424005522164733,2.51129081740518,3.178072295707538,2.575708456339072,2.5819607569840475,2.770766051156459,2.4530736243330327,2.716412802383652,2.708405316511445,2.575593397364082,2.674493492093162,2.8631688425834914,2.3811689498614745,2.248601338098489,2.77848342371531,2.7506694123726074,2.9316063954970764,2.6590833886676806,2.5380926493861167,2.5888735167011436,2.60041035073018,2.710643948005302,2.665560075361379,2.5331531201590294,2.7612034679195077,3.071189853275096,2.5943848240041256,2.437069054033006,2.3883667329941787,2.6208474438610776,2.7488136165628294,2.324736948619809,2.5591425396842955,2.766195010082446,2.6877077765795363,2.5719964364713617,2.6203055636630412,3.321825190373102,2.528288439531792,2.843171391736625,2.6867331551320333,2.823696713213006,2.7443463536120705,2.9321930357027606,2.7133983807816504,2.1823563873363785,2.9129296899194035,2.7463224220242743,2.6793708310947846,3.0378713135516753,2.7343244345177142,2.2079428767029854,2.6974629798006475,2.8796577852814,2.764052676504911
1955,2.4672194604525646,3.1065151689742745,3.1280939463104214,2.2176464430490967,3.187762136583547,2.761673671956738,2.6456817986173524,2.1086397900870333,3.024633268230621,2.399261662522768,2.4741055992943273,2.7365557893593206,2.5105787167215574,2.7232765937809433,2.5144429088503992,2.0004250790915017,3.066275659698825,2.6191223050154364,2.853503876573601,3.0029152901418428,2.54975673449885,3.117529073174237,2.3717683321880707,2.589907629118363,2.3996660781008488,2.33615876720853,1.9479046564037694,2.6531261432268853,2.7014909941424765,2.074705458159178,3.157337582170481,3.334214969501115,2.5127796813157857,2.2736888115100133,2.893373213610228,2.919946539004681,2.8552776704833867,2.4360882126565677,2.5059231026756583,2.5007675055044656,2.426618746229334,2.593220504874724,3.071520209458725,2.220152100937695,2.406319473480898,2.660390184667022,2.5141352108057777,3.1798500995581622,2.6024639962011222,2.5971705526490743,2.7212089590187434,2.4720124357152087,2.6075040163321,2.6752445355456023,2.5364486094036836,2.649885046469643,2.8696469889141434,2.4062799210488324,2.251611815851929,2.7832561965408633,2.718332215057763,2.8991884948881514,2.705777268588639,2.515063111973767,2.561866705490731,2.6523899157295983,2.728272779129502,2.6695826212439755,2.5014128951966907,2.7045855264835788,3.036813118939125,2.514493694830498,2.4814125696269644,2.3679870697931724,2.589113664488335,2.755420542425622,2.3267927515337306,2.550453996913407,2.7384238659520093,2.626045979722427,2.6038446873075176,2.6416108739548583,3.3276465677015286,2.496869953726248,2.8004975642302155,2.7055588283391243,2.79935558565182,2.737799498713914,2.8801729255563804,2.6831503406675963,2.2069248760059685,2.903829032776862,2.6997340509457657,2.6901093965432192,2.9922449850728285,2.741556606002019,2.1761280398182974,2.671831399509956,2.8969682325744897,2.7720331823038538
1956,2.3812302563801495,3.054209031131649,3.1775338714059296,2.1088567560858253,3.147157467557205,2.7961455638177135,2.6236093398206313,2.0393970812123965,2.987388796554269,2.3659967718108987,2.4180632584378188,2.7385307555982132,2.4868588530577047,2.7976699626976598,2.487931498432058,1.9346773224907545,3.098060688782599,2.637783869631567,2.880001516763864,2.9391016040613955,2.5342821981528183,3.1134446445851776,2.3508313674678667,2.5833316033680815,2.3669613794235147,2.3880899120850665,1.9360455017548894,2.6785268224609804,2.7038318456940926,2.070122245231096,3.154943750439405,3.2998585390998274,2.488717135020538,2.25882364153669,2.886663665324278,2.9385682011404333,2.839636120633596,2.4261589829508647,2.443043366805681,2.459788384368513,2.470063802209722,2.5902602825786,3.0996607176377577,2.2745147757463906,2.403995966742901,2.6499866472965006,2.480759403852151,3.1854463689919768,2.622592887840752,2.522309755355989,2.6008095353108924,2.4183496898584806,2.5624818649181083,2.660726461222337,2.4890789018052644,2.6300792234648642,2.9042256628623364,2.3532398033484094,2.272367746371069,2.7691724650737424,2.768651533529326,2.9008350275819272,2.7915569141873715,2.493861664383636,2.5303068708145764,2.7369062890187568,2.751007717395809,2.6486860010322917,2.4707704484528366,2.739246768016532,2.9182430465919604,2.551063802412321,2.4935360916282177,2.3442576179597716,2.5858745431900583,2.7207281071585068,2.346171764256438,2.5805940187590943,2.7381643971592795,2.5941126824629146,2.5855807998614675,2.661507887261852,3.335200631282564,2.467133318482709,2.762647789967052,2.6651086975166893,2.8084419476587392,2.6995338119343333,2.8577884874860504,2.654478749028328,2.2190762416269147,2.8638383205770586,2.784612723294087,2.722287514350456,3.0075760970098075,2.768189423938392,2.1528985951745914,2.7031850874574066,2.9308106659868747,2.8048466516421726
1957,2.349598360653423,2.9803942847579687,3.1082592819252546,2.0356393185842556,3.119357660615633,2.7481336139481893,2.5485730344705977,2.08386274120915,3.027265855889025,2.2971004736382605,2.4000411026343933,2.7843245457454384,2.435160453697472,2.7848350017878705,2.481896008061912,1.8984777883623472,3.078604895255857,2.61344444276368,2.867149685888597,2.8755606663818525,2.46669691087874,3.056920214311756,2.3992168151474536,2.5482359615423547,2.3551532582015624,2.4376114526512955,1.9706934156430076,2.697669977887975,2.673746820310062,2.048194911628391,3.116776310269869,3.291011908745468,2.4264624078148507,2.2467953264206932,2.8472085395764375,2.9212480885952274,2.8466487704338808,2.389651715768906,2.347236579404813,2.461247335535685,2.490898948613226,2.5543006803801087,3.0688896021047394,2.2036816856007753,2.324262332949329,2.628299630869841,2.475366641767901,3.177040530986298,2.56845845009049,2.446853937404248,2.5888777312891076,2.4621531110213537,2.516204121969042,2.578265075855808,2.400472846062907,2.604350699089101,2.9411200261610957,2.371783112034868,2.2172011014179818,2.7678106045753537,2.7565767176522855,2.8660702306796124,2.8073474763293893,2.5414947535717665,2.497333455005585,2.797934640703188,2.8060399753186007,2.6223167538319228,2.3971946277413503,2.7047491691203405,2.844761795807241,2.5434392184164767,2.511064404252963,2.3925785879249846,2.5878165099773467,2.7267140876063976,2.350633834033381,2.5323475587281066,2.7214993442057143,2.5813884994237077,2.5814261024092393,2.6716784026445914,3.2842049754085103,2.4628715740611273,2.722081743408945,2.698237891356565,2.821128696192478,2.6864296035417556,2.8557717416939594,2.5860782774712336,2.2565314482339027,2.874547206570301,2.7232854470302463,2.6908344827560535,3.1265218441320353,2.730471204757149,2.144566790146943,2.7104236975914837,3.0156808373019994,2.78781453694471
1958,2.3297959427621873,2.9005737706521995,3.061452074759757,2.010439571921544,3.0894608148839704,2.6822072427629524,2.468541931071627,2.10244554512232,3.0140371565591098,2.264428004524019,2.4230506923642143,2.8121723487285863,2.35504686473418,2.842658338498434,2.411886551136137,1.907779186344034,3.0662690499482936,2.639904826773783,2.8598348330081684,2.836722162889941,2.4202268558693683,3.009478533691445,2.383319145706625,2.5549360562435286,2.398368802118525,2.4739349015136343,2.0035106038030155,2.700799466710373,2.567996266642074,2.0808530615190675,3.0599947250178716,3.323172295170881,2.365398686565872,2.181325811472991,2.8206709751250445,2.9287361424160157,2.787178776304228,2.419471086973568,2.2895392178758494,2.4725470683476045,2.44696735108242,2.527831225100731,3.0384726370565143,2.1640971663731463,2.301173422544713,2.603005148477182,2.4582759670147145,3.182866939252026,2.50550122057072,2.4788180378668434,2.5761342877836713,2.5366125182885657,2.5479670201895974,2.5260262672021194,2.2858759752648563,2.5928036294558194,2.9490481261480728,2.328704113350481,2.23035948835696,2.7722004114040364,2.7579521477554656,2.817768857796744,2.8167527030410655,2.578945161060317,2.486805265468851,2.823358731508522,2.8109307838665094,2.578913132172014,2.4404613303468854,2.6637329335540687,2.75785531344203,2.545961115317129,2.4586836514500137,2.362421609987379,2.5778497609951185,2.6935223519411595,2.4433262527927413,2.4477460084235405,2.6795509931305617,2.5650316953028787,2.608388958001273,2.6493563932141235,3.33053951337737,2.452882336515862,2.719717072864885,2.7195815108146113,2.84269056911267,2.6577745314069987,2.8289364294946684,2.5003026655397664,2.218436660608488,2.7525647750196085,2.7144965946104795,2.6885956381185165,3.1433214969180696,2.6768412535187314,2.1676011838163953,2.7026103268554587,2.9889605782090305,2.779170213548911
1959,2.317521547021644,2.836802087151166,3.002240074231524,2.061477612005791,3.0371482464655397,2.6809509802115485,2.4425901064624296,2.100315850759746,2.9850962135073753,2.1900607694244547,2.3737416562968705,2.8174636751635913,2.2768066472123176,2.8553202482078266,2.4048578505265352,1.8827444510930385,3.0791359006848045,2.6352599884065975,2.8181196152830945,2.8313955522838423,2.309794150526894,2.9719378454055687,2.4066121233019135,2.602876387814566,2.403479139140666,2.5158346200220225,1.9652053130315095,2.7009464251997493,2.474867279975445,2.1037562064030997,2.9779225346806535,3.3590524761124088,2.3260369622201242,2.115145718290348,2.814264987298769,2.866543561164383,2.7522397708926003,2.4394291467970524,2.227567972925585,2.423284938887099,2.391406292396126,2.517424562989807,3.0588646810621563,2.168298998964723,2.312976480253992,2.611319273659795,2.3910678557676097,3.1215990421106574,2.5035615982771695,2.5074178127877116,2.594301319909951,2.621542361392699,2.5162990500872144,2.5145151506246766,2.2820389171472493,2.5684821806982914,2.9223454801918316,2.307920703117124,2.2488871270936204,2.7647624951412917,2.7365700001752433,2.7534311824946314,2.793306358191104,2.620927331389521,2.5085522313527586,2.9117753551901915,2.8184015015389567,2.580029598090147,2.455925504518656,2.553434545980036,2.8240962812689214,2.5510147553963693,2.4541064626635527,2.3804345888256067,2.6020528294273007,2.659112607048917,2.5166722107412647,2.411263796729259,2.6607726783629033,2.5206466356617425,2.604487659143668,2.6726113141794148,3.3972379201756038,2.452193329574237,2.7508785863901557,2.6713432535272164,2.888460966837056,2.6934743564735797,2.8445759740704326,2.44144673884364,2.1931135688933066,2.7440926822681058,2.7141856608638895,2.684955683348359,3.1797802940848827,2.6949880693800976,2.1886326107408043,2.685400597629868,2.9884589762821077,2.8003410636839154
