Year,BEST,GISTEMP,HADCRUT,ERA5
1992,NaN,NaN,NaN,2.1578239590349675
1993,NaN,NaN,NaN,2.2507100097152937
1994,NaN,NaN,NaN,2.1054699634891105
1995,NaN,NaN,NaN,2.321183273668051
1996,NaN,1.023379791676276,NaN,2.548783228670669
1997,1.113708987584051,1.377642750516126,1.3219302209526735,2.765993845326246
1998,1.1926157581146384,1.4083456058919297,1.3454737644416466,2.5736570878241003
1999,1.3011342187089838,1.5111243283984437,1.4460778058704855,2.7231032867013414
2000,1.4471959243961852,1.6507618676960394,1.5650880758720123,2.765121299365865
2001,1.5046959407705098,1.6813350232616147,1.5761462960414416,2.598253136978584
2002,1.7179401732660917,1.8781235635535947,1.7825848205497308,2.6669650865150136
2003,1.9256244901357558,2.088996886462977,1.991456344403797,2.7638440460413825
2004,1.873696701936347,1.9712069799283207,1.897950046342676,2.569331073963066
2005,2.165288700139991,2.2356082445204803,2.1486650134580683,2.7205647653563383
2006,2.283076939372959,2.3202208836025386,2.229763597256666,2.7201451173244786
2007,2.472633859806152,2.4764134171193875,2.3796111469763197,2.83221598674041
2008,2.654452840877876,2.623583051011715,2.524105712481199,2.950212008389722
2009,2.6543523432474263,2.572896911511234,2.47163277304762,2.8281817278994765
2010,2.912354843600191,2.8193429531936918,2.708451037835451,2.9735590036297985
2011,3.1719312003226983,3.048961878592292,2.938657601903669,3.1300009060498386
2012,3.401193170718177,3.245504277899022,3.1008211408315227,3.302460703709283
2013,3.398662113566491,3.2376852669627225,3.0837290993346227,3.2389413907747464
2014,3.5882253249869054,3.387017231628764,3.2501854864652167,3.3547827562501187
2015,3.5907446540947285,3.35358038223384,3.2425520850324734,3.28666852595521
2016,3.7315050443651336,3.4286822433155,3.34907007613022,3.3811970653414503
2017,3.857093510787346,3.524866259343184,3.441809883495877,3.507172287017511
2018,3.9672982511651194,3.6198244186997766,3.5426854254256743,3.6142441980982514
2019,4.13958270248071,3.776374271103341,3.742349838630056,3.761799042399386
2020,4.108089267824049,3.7916636095494316,3.7709244661413237,3.761099991004225
2021,4.083634394898936,3.7935149502371153,3.7780545402340824,3.6971894687707474
