Year,BEST,GISTEMP,HADCRUT,ERA5
1950,2.5536981541090698,2.4584280741519953,2.4523400807301674,3.089151740582204
1951,2.61294602333358,2.5159211554916525,2.5051069667910504,3.1169397827994594
1952,2.6238378975295973,2.5397780441862476,2.521294827883321,3.095218872765255
1953,2.64605245465936,2.5707342767554247,2.5406484668984337,3.105969427495986
1954,2.692178295656525,2.645206514296228,2.594625166933804,3.1339136255668474
1955,2.7910983912378557,2.761534610234519,2.685958105755602,3.2305395644599324
1956,2.8190667860298335,2.790569291061993,2.7106997654881253,3.237822413455898
1957,2.8967893722780405,2.862927826169399,2.7769175435937234,3.3264546141828197
1958,2.912015472496609,2.878226341241632,2.7885293408208454,3.3187818250282164
1959,2.911514101484295,2.870704747962252,2.778499046003742,3.265046001550108
1960,2.9765471923257847,2.9337212550526006,2.840907415663824,3.301380243915792
1961,3.056001744032042,3.001542079922721,2.9117006067049664,3.334671376985216
1962,3.067406459363293,2.9981660145566345,2.90775663449077,3.284243290137864
1963,3.1484316491983586,3.057259760988867,2.969412674020497,3.2999363070403573
1964,3.138979706233601,3.0478593820931645,2.958995883014274,3.249865990104622
1965,3.1705425977299586,3.0756670323751876,2.9821841097946913,3.2437669394950817
1966,3.229427174311443,3.12321280217996,3.0279139479409687,3.251109423005336
1967,3.217583187036367,3.0999616004231116,3.006287780596866,3.1706964069459667
1968,3.2981367397314476,3.1833430493803228,3.091527501166309,3.2070735092060807
1969,3.348818909561097,3.213394401131128,3.1303283915909614,3.2011076852184566
1970,3.3766046455548366,3.2446545511057923,3.154679901419936,3.20057139521568
1971,3.402336997309877,3.26061621623859,3.180095416162906,3.1855918024640593
1972,3.519642875652877,3.343317946788164,3.277380316960718,3.234726193779558
1973,3.579623377827244,3.3747204245673172,3.318113045262507,3.243784905934566
1974,3.612614409361885,3.3714023827783186,3.3391113044730623,3.254738080788167
1975,3.7197471124003707,3.454177569007831,3.423457161507989,3.3659105503671385
1976,3.819291264951126,3.555858443879176,3.5187419688896076,3.451848575913781
1977,4.010949538474528,3.713502945644365,3.701138962900696,3.6352577122546856
1978,4.028513929065465,3.7450050862766013,3.72961696529361,3.659693438286727
1979,4.083634394898936,3.7935149502371153,3.7780545402340824,3.6971894687707474
1980,3.99850247885058,3.7060506242872164,3.6674060674935367,3.628046657649408
1981,3.9775245380944084,3.703071860913051,3.6565567009317963,3.5977241828093787
1982,4.066474123296544,3.8045975274818544,3.7580251881436224,3.671276591051831
1983,4.065784913929776,3.7817528553798057,3.752708204225152,3.6738412825732154
1984,4.00361925756366,3.724520405815288,3.6896988990611694,3.6085066089630007
1985,4.144920560822001,3.851045609375342,3.8013993606415,3.7701550391504695
1986,4.362730634526559,4.037026308361498,3.9740356537999317,3.981970269319276
1987,4.409770754831278,4.088006099020793,4.012122501393906,4.040815352300935
1988,4.220115181484588,3.9067498427116125,3.8202287051159964,3.8345344195015443
1989,4.186939654389426,3.8687294940603723,3.8252288770500487,3.7664216794172543
1990,4.2371866909916,3.883230699836376,3.8577581088387993,3.792933769863049
1991,4.203935018295261,3.809172494749429,3.8262913815964685,3.7439896318793533
1992,4.182810478124047,3.7947950082832627,3.8254143593288537,3.7239251940945963
1993,4.102236288932539,3.7084111262269213,3.775023581547039,3.705475050142755
1994,4.236251983952667,3.8423745742590234,3.9393803236472937,3.7500349756523184
1995,4.202242973785234,3.8198174376594753,3.9328781182763763,3.70432836027289
1996,4.37920084216305,3.981123729632783,4.151229687985226,3.8506452290655875
1997,4.547863048554996,4.162052899607424,4.374363327759042,4.07402513453276
1998,4.3208859547608585,4.092367342760053,4.236275809107633,3.953788376955964
1999,3.944194865523309,3.781056301752197,3.839318611387525,3.5300518073846083
2000,3.7125747387286667,3.6413952483883847,3.7011535644683207,3.3155303809221133
2001,3.795238788611099,3.756050120783903,3.8336652157474007,3.3583407451496283
2002,3.5658447560102053,3.600336053954492,3.591856167892976,3.120487278418353
2003,3.216351177285625,3.3025968360935467,3.3465777803166064,2.74010022245738
2004,2.8366553097999874,3.12037550956237,3.1547129085534595,2.4531069363308613
2005,1.824554809018067,2.215021804962706,2.2697267281736595,1.6528493202839802
2006,1.6774310847092229,2.2077854955818244,2.239962751600944,1.6151373478850046
2007,1.5931040621843324,2.095748970769607,2.155546088431345,1.4990363222221126
2008,1.7889847114897381,2.221567188834021,2.3701276660975497,1.6167794934775122
2009,1.486489697966303,2.039570919245437,2.2923747607325415,1.4721780446105526
2010,0.7164695809991647,1.2953240487606037,1.463638591298956,0.9114502740846736
2011,0.8497718378113011,1.32732474006308,1.5650887230026458,0.8525735881564228
2012,1.4290945044271448,2.032777332162087,NaN,1.1737149538598006
2013,NaN,NaN,NaN,NaN
2014,NaN,NaN,NaN,NaN
2015,NaN,NaN,NaN,NaN
2016,NaN,NaN,NaN,NaN
2017,NaN,NaN,NaN,NaN
2018,NaN,NaN,NaN,NaN
2019,NaN,NaN,NaN,NaN
2020,NaN,NaN,NaN,NaN
